"id","turn","role","turn_type"
"105",1,1,"Question"
"105",2,2,"Acknowledgement"
"105",3,1,"Elaboration"
"105",4,2,"Acknowledgement"
"105",5,1,"Elaboration"
"105",6,2,"Acknowledgement"
"105",7,1,"Elaboration"
"105",8,2,"Elaboration"
"105",9,1,"Elaboration"
"105",10,2,"Reflection"
"105",11,1,"HedgedDisclosure"
"105",12,2,"Acknowledgement"
"105",13,1,"Elaboration"
"105",14,2,"Acknowledgement"
"105",15,1,"Elaboration"
"105",16,2,"Reflection"
"105",17,1,"Elaboration"
"105",18,2,"Acknowledgement"
"105",19,1,"HedgedDisclosure"
"105",20,2,"Reflection"
"105",21,1,"Elaboration"
"105",22,2,"Acknowledgement"
"105",23,1,"Elaboration"
"105",24,2,"Acknowledgement"
"105",25,1,"Elaboration"
"105",26,2,"Reflection"
"105",27,1,"HedgedDisclosure"
"105",28,2,"Acknowledgement"
"105",29,1,"Elaboration"
"105",30,2,"Acknowledgement"
"105",31,1,"HedgedDisclosure"
"105",32,2,"Reflection"
"105",33,1,"Elaboration"
"105",34,2,"Acknowledgement"
"105",35,1,"Elaboration"
"105",36,2,"Acknowledgement"
"105",37,1,"Elaboration"
"105",38,2,"Reflection"
"105",39,1,"Elaboration"
"105",40,2,"HedgedDisclosure"
"105",41,1,"HedgedDisclosure"
"105",42,2,"Reflection"
"105",43,1,"Acknowledgement"
"105",44,2,"Acknowledgement"
"105",45,1,"Advice"
"105",46,2,"Acknowledgement"
"105",47,1,"Elaboration"
"105",48,2,"Acknowledgement"
"105",49,1,"Elaboration"
"105",50,2,"Acknowledgement"
"105",51,1,"Elaboration"
"105",52,2,"Acknowledgement"
"105",53,1,"Elaboration"
"105",54,2,"Acknowledgement"
"105",55,1,"Elaboration"
"105",56,2,"Reflection"
"105",57,1,"Reflection"
"105",58,2,"Reflection"
"105",59,1,"Elaboration"
"105",60,2,"Elaboration"
"105",61,1,"Question"
"105",62,2,"Acknowledgement"
"105",63,1,"Question"
"105",64,2,"HedgedDisclosure"
"105",65,1,"Elaboration"
"105",66,2,"Acknowledgement"
"105",67,1,"Elaboration"
"105",68,2,"HedgedDisclosure"
"105",69,1,"Elaboration"
"105",70,2,"Elaboration"
"105",71,1,"Elaboration"
"105",72,2,"Elaboration"
"105",73,1,"Question"
"105",74,2,"Elaboration"
"105",75,1,"Elaboration"
"105",76,2,"Elaboration"
"105",77,1,"Elaboration"
"105",78,2,"Reflection"
"105",79,1,"Elaboration"
"105",80,2,"Acknowledgement"
"105",81,1,"Elaboration"
"105",82,2,"Acknowledgement"
"105",83,1,"Elaboration"
"105",84,2,"Reflection"
"105",85,1,"Elaboration"
"105",86,2,"Acknowledgement"
"105",87,1,"Elaboration"
"105",88,2,"Elaboration"
"105",89,1,"Elaboration"
"105",90,2,"Elaboration"
"105",91,1,"Elaboration"
"105",92,2,"Acknowledgement"
"105",93,1,"Elaboration"
"105",94,2,"Reflection"
"105",95,1,"Elaboration"
"105",96,2,"Question"
"105",97,1,"Elaboration"
"105",98,2,"Elaboration"
"105",99,1,"Elaboration"
"105",100,2,"Elaboration"
"105",101,1,"Question"
"105",102,2,"HedgedDisclosure"
"105",103,1,"Elaboration"
"105",104,2,"Elaboration"
"107",1,1,"Elaboration"
"107",2,2,"Acknowledgement"
"107",3,1,"Elaboration"
"107",4,2,"Acknowledgement"
"107",5,1,"Elaboration"
"107",6,2,"HedgedDisclosure"
"107",7,1,"Elaboration"
"107",8,2,"Acknowledgement"
"107",9,1,"Elaboration"
"107",10,2,"Acknowledgement"
"107",11,1,"Elaboration"
"107",12,2,"Reflection"
"107",13,1,"Elaboration"
"107",14,2,"Acknowledgement"
"107",15,1,NA
"107",16,2,"Question"
"107",17,1,"Elaboration"
"107",18,2,"Acknowledgement"
"107",19,1,NA
"107",20,2,"Advice"
"107",21,1,"Elaboration"
"107",22,2,"Elaboration"
"107",23,1,"HedgedDisclosure"
"107",24,2,"Question"
"107",25,1,"Elaboration"
"107",26,2,NA
"107",27,1,"Elaboration"
"107",28,2,NA
"107",29,1,"Elaboration"
"107",30,2,"Acknowledgement"
"107",31,1,"HedgedDisclosure"
"107",32,2,"Reflection"
"107",33,1,"Elaboration"
"107",34,2,"Acknowledgement"
"107",35,1,"Elaboration"
"107",36,2,"Acknowledgement"
"107",37,1,"Elaboration"
"107",38,2,"Reflection"
"107",39,1,"HedgedDisclosure"
"107",40,2,"Acknowledgement"
"107",41,1,"HedgedDisclosure"
"107",42,2,NA
"107",43,1,"Acknowledgement"
"107",44,2,"Elaboration"
"107",45,1,"HedgedDisclosure"
"107",46,2,"Acknowledgement"
"107",47,1,"HedgedDisclosure"
"107",48,2,"Reflection"
"107",49,1,"Elaboration"
"107",50,2,"Reflection"
"107",51,1,"HedgedDisclosure"
"107",52,2,"HedgedDisclosure"
"107",53,1,"Acknowledgement"
"107",54,2,"Reflection"
"107",55,1,"Acknowledgement"
"107",56,2,"Acknowledgement"
"107",57,1,"Elaboration"
"107",58,2,"Reflection"
"107",59,1,"Elaboration"
"107",60,2,"Reflection"
"107",61,1,"Elaboration"
"107",62,2,"Acknowledgement"
"107",63,1,"Elaboration"
"107",64,2,"Elaboration"
"107",65,1,"HedgedDisclosure"
"107",66,2,NA
"107",67,1,"Elaboration"
"107",68,2,"Elaboration"
"107",69,1,"Elaboration"
"107",70,2,NA
"107",71,1,"Elaboration"
"107",72,2,"Reflection"
"107",73,1,"Elaboration"
"107",74,2,"Acknowledgement"
"11",1,1,"Elaboration"
"11",2,2,"Acknowledgement"
"11",3,1,"Elaboration"
"11",4,2,"Question"
"11",5,1,"Elaboration"
"11",6,2,"Question"
"11",7,1,"Elaboration"
"11",8,2,"Question"
"11",9,1,"Elaboration"
"11",10,2,"Question"
"11",11,1,"Elaboration"
"11",12,2,"Question"
"11",13,1,"Elaboration"
"11",14,2,"Question"
"11",15,1,"Elaboration"
"11",16,2,"Acknowledgement"
"11",17,1,"Elaboration"
"11",18,2,"Question"
"11",19,1,"Elaboration"
"11",20,2,"Question"
"11",21,1,"Elaboration"
"11",22,2,"Advice"
"11",23,1,"Elaboration"
"11",24,2,"Advice"
"11",25,1,"HedgedDisclosure"
"11",26,2,NA
"11",27,1,"Elaboration"
"11",28,2,"Question"
"11",29,1,"Elaboration"
"11",30,2,"Acknowledgement"
"11",31,1,"Elaboration"
"11",32,2,"HedgedDisclosure"
"11",33,1,"Elaboration"
"11",34,2,"Advice"
"11",35,1,"Elaboration"
"11",36,2,"Elaboration"
"11",37,1,"Elaboration"
"11",38,2,"Question"
"11",39,1,"Elaboration"
"11",40,2,"Question"
"11",41,1,"Elaboration"
"11",42,2,"Reflection"
"11",43,1,"Elaboration"
"11",44,2,"Elaboration"
"11",45,1,"Elaboration"
"11",46,2,"Acknowledgement"
"11",47,1,"Elaboration"
"11",48,2,NA
"11",49,1,"Elaboration"
"11",50,2,"Question"
"11",51,1,"Elaboration"
"11",52,2,"Elaboration"
"11",53,1,"Elaboration"
"11",54,2,"Elaboration"
"11",55,1,"Elaboration"
"11",56,2,"Elaboration"
"11",57,1,"Question"
"11",58,2,"HedgedDisclosure"
"11",59,1,"Acknowledgement"
"11",60,2,"Elaboration"
"119",1,2,"HedgedDisclosure"
"119",2,1,NA
"119",3,2,"Advice"
"119",4,1,NA
"119",5,2,NA
"119",6,1,"Elaboration"
"119",7,2,"Advice"
"119",8,1,"HedgedDisclosure"
"119",9,2,"Acknowledgement"
"119",10,1,"Question"
"119",11,2,"Advice"
"119",12,1,"Elaboration"
"119",13,2,"Acknowledgement"
"119",14,1,"Elaboration"
"119",15,2,"Reflection"
"119",16,1,"Elaboration"
"119",17,2,"Question"
"119",18,1,"Elaboration"
"119",19,2,"Question"
"119",20,1,"Elaboration"
"119",21,2,"Question"
"119",22,1,"Elaboration"
"119",23,2,"Question"
"119",24,1,"Elaboration"
"119",25,2,"HedgedDisclosure"
"119",26,1,"Question"
"119",27,2,"Elaboration"
"119",28,1,"Question"
"119",29,2,"Question"
"119",30,1,"Question"
"119",31,2,"Elaboration"
"119",32,1,"Elaboration"
"119",33,2,"Question"
"119",34,1,"Elaboration"
"119",35,2,"Question"
"119",36,1,"Elaboration"
"119",37,2,"Reflection"
"119",38,1,"Question"
"119",39,2,"Elaboration"
"119",40,1,"Reflection"
"119",41,2,"Elaboration"
"119",42,1,"Elaboration"
"119",43,2,"Reflection"
"119",44,1,"Question"
"119",45,2,"Elaboration"
"119",46,1,"Elaboration"
"119",47,2,"HedgedDisclosure"
"119",48,1,"Question"
"119",49,2,"Acknowledgement"
"119",50,1,"Elaboration"
"119",51,2,"Advice"
"119",52,1,"Elaboration"
"119",53,2,NA
"119",54,1,"Advice"
"119",55,2,"Question"
"119",56,1,"Elaboration"
"119",57,2,"Elaboration"
"119",58,1,"Question"
"119",59,2,"Elaboration"
"119",60,1,"Elaboration"
"119",61,2,"Reflection"
"119",62,1,"Elaboration"
"119",63,2,"HedgedDisclosure"
"119",64,1,"Elaboration"
"119",65,2,"Question"
"119",66,1,"HedgedDisclosure"
"119",67,2,"Reflection"
"119",68,1,NA
"119",69,2,"Elaboration"
"119",70,1,NA
"119",71,2,"Advice"
"119",72,1,NA
"119",73,2,"Advice"
"119",74,1,NA
"119",75,2,"Advice"
"119",76,1,NA
"119",77,2,"Reflection"
"119",78,1,"Elaboration"
"119",79,2,"Reflection"
"119",80,1,"Elaboration"
"119",81,2,"Advice"
"119",82,1,"Elaboration"
"119",83,2,"Question"
"119",84,1,"Elaboration"
"119",85,2,"Question"
"119",86,1,"Elaboration"
"119",87,2,"Reflection"
"119",88,1,"Elaboration"
"119",89,2,"Acknowledgement"
"119",90,1,"Elaboration"
"12",1,1,"Elaboration"
"12",2,2,"Question"
"12",3,1,"Elaboration"
"12",4,2,"Acknowledgement"
"12",5,1,"Elaboration"
"12",6,2,"Reflection"
"12",7,1,"Acknowledgement"
"12",8,2,"HedgedDisclosure"
"12",9,1,"Acknowledgement"
"12",10,2,"Elaboration"
"12",11,1,"Acknowledgement"
"12",12,2,"HedgedDisclosure"
"12",13,1,"HedgedDisclosure"
"12",14,2,"Reflection"
"12",15,1,"Elaboration"
"12",16,2,"Question"
"12",17,1,"Elaboration"
"12",18,2,"Acknowledgement"
"12",19,1,"Acknowledgement"
"12",20,2,"Elaboration"
"12",21,1,"Elaboration"
"12",22,2,"Question"
"12",23,1,"HedgedDisclosure"
"12",24,2,"Question"
"12",25,1,"Elaboration"
"12",26,2,"Reflection"
"12",27,1,"Acknowledgement"
"12",28,2,"HedgedDisclosure"
"12",29,1,"Elaboration"
"12",30,2,"Acknowledgement"
"12",31,1,"Elaboration"
"12",32,2,"Acknowledgement"
"12",33,1,"Elaboration"
"12",34,2,"Elaboration"
"12",35,1,"Acknowledgement"
"12",36,2,"HedgedDisclosure"
"12",37,1,"Acknowledgement"
"12",38,2,"Elaboration"
"12",39,1,"Acknowledgement"
"12",40,2,"Elaboration"
"12",41,1,"Acknowledgement"
"12",42,2,"Elaboration"
"12",43,1,"Acknowledgement"
"12",44,2,"Elaboration"
"12",45,1,"Acknowledgement"
"12",46,2,"Elaboration"
"12",47,1,"Acknowledgement"
"12",48,2,"Elaboration"
"12",49,1,"Elaboration"
"12",50,2,"Acknowledgement"
"12",51,1,"Elaboration"
"12",52,2,"HedgedDisclosure"
"12",53,1,"Acknowledgement"
"12",54,2,"HedgedDisclosure"
"12",55,1,"Acknowledgement"
"12",56,2,"Elaboration"
"12",57,1,"Acknowledgement"
"12",58,2,"Elaboration"
"12",59,1,"Acknowledgement"
"12",60,2,"Elaboration"
"12",61,1,"Elaboration"
"12",62,2,"Acknowledgement"
"12",63,1,"Elaboration"
"12",64,2,"Acknowledgement"
"12",65,1,"Elaboration"
"12",66,2,"Reflection"
"12",67,1,"Elaboration"
"12",68,2,"Reflection"
"12",69,1,"Acknowledgement"
"12",70,2,"Advice"
"12",71,1,"Acknowledgement"
"12",72,2,"HedgedDisclosure"
"12",73,1,"Acknowledgement"
"12",74,2,"Elaboration"
"12",75,1,"Elaboration"
"12",76,2,"Acknowledgement"
"12",77,1,"Elaboration"
"12",78,2,"Elaboration"
"12",79,1,"Elaboration"
"12",80,2,"Elaboration"
"12",81,1,"Acknowledgement"
"12",82,2,"Elaboration"
"123",1,1,"Elaboration"
"123",2,2,"Acknowledgement"
"123",3,1,"Elaboration"
"123",4,2,"Acknowledgement"
"123",5,1,"Elaboration"
"123",6,2,"Acknowledgement"
"123",7,1,"Elaboration"
"123",8,2,"Acknowledgement"
"123",9,1,"Elaboration"
"123",10,2,"Acknowledgement"
"123",11,1,"Elaboration"
"123",12,2,"Acknowledgement"
"123",13,1,"Elaboration"
"123",14,2,"Acknowledgement"
"123",15,1,"Elaboration"
"123",16,2,"HedgedDisclosure"
"123",17,1,"Elaboration"
"123",18,2,"Elaboration"
"123",19,1,"Elaboration"
"123",20,2,"Elaboration"
"123",21,1,"Reflection"
"123",22,2,"Acknowledgement"
"123",23,1,"Elaboration"
"123",24,2,"Elaboration"
"123",25,1,"Question"
"123",26,2,"Acknowledgement"
"123",27,1,"Acknowledgement"
"123",28,2,"Reflection"
"123",29,1,"Elaboration"
"123",30,2,"Elaboration"
"123",31,1,"Elaboration"
"123",32,2,"Acknowledgement"
"123",33,1,"Elaboration"
"123",34,2,"Acknowledgement"
"123",35,1,"Elaboration"
"123",36,2,"Reflection"
"123",37,1,"Elaboration"
"123",38,2,"Acknowledgement"
"123",39,1,"HedgedDisclosure"
"123",40,2,"Acknowledgement"
"123",41,1,"Elaboration"
"123",42,2,"Acknowledgement"
"123",43,1,"Elaboration"
"123",44,2,"Acknowledgement"
"123",45,1,"Elaboration"
"123",46,2,"Reflection"
"123",47,1,"Elaboration"
"123",48,2,"Acknowledgement"
"123",49,1,"HedgedDisclosure"
"123",50,2,"Elaboration"
"123",51,1,"Elaboration"
"123",52,2,"Reflection"
"123",53,1,"Elaboration"
"123",54,2,"Acknowledgement"
"123",55,1,"Elaboration"
"123",56,2,"Elaboration"
"123",57,1,"Elaboration"
"123",58,2,"Elaboration"
"123",59,1,"Elaboration"
"123",60,2,"Question"
"123",61,1,"Elaboration"
"123",62,2,"Reflection"
"123",63,1,"Elaboration"
"123",64,2,"Acknowledgement"
"123",65,1,"Elaboration"
"123",66,2,"Acknowledgement"
"123",67,1,"Elaboration"
"123",68,2,"HedgedDisclosure"
"123",69,1,"Acknowledgement"
"123",70,2,"Elaboration"
"123",71,1,"Reflection"
"123",72,2,"Elaboration"
"123",73,1,"Acknowledgement"
"123",74,2,"Elaboration"
"123",75,1,"Elaboration"
"123",76,2,"Acknowledgement"
"123",77,1,"HedgedDisclosure"
"123",78,2,"Elaboration"
"123",79,1,"Elaboration"
"123",80,2,"Elaboration"
"123",81,1,"Elaboration"
"123",82,2,"Acknowledgement"
"123",83,1,"Elaboration"
"123",84,2,"Elaboration"
"123",85,1,"HedgedDisclosure"
"123",86,2,"Acknowledgement"
"123",87,1,"Elaboration"
"123",88,2,"Acknowledgement"
"123",89,1,"Reflection"
"123",90,2,"Reflection"
"123",91,1,"Elaboration"
"124",1,1,"Question"
"124",2,2,"Acknowledgement"
"124",3,1,"Elaboration"
"124",4,2,"Question"
"124",5,1,"Elaboration"
"124",6,2,"Question"
"124",7,1,"Elaboration"
"124",8,2,"Acknowledgement"
"124",9,1,"Elaboration"
"124",10,2,"Acknowledgement"
"124",11,1,"HedgedDisclosure"
"124",12,2,"Acknowledgement"
"124",13,1,"Elaboration"
"124",14,2,"Acknowledgement"
"124",15,1,"Elaboration"
"124",16,2,"Question"
"124",17,1,"HedgedDisclosure"
"124",18,2,"Question"
"124",19,1,"HedgedDisclosure"
"124",20,2,"Acknowledgement"
"124",21,1,"Acknowledgement"
"124",22,2,"Acknowledgement"
"124",23,1,"Elaboration"
"124",24,2,"Question"
"124",25,1,"Elaboration"
"124",26,2,"Question"
"124",27,1,"Elaboration"
"124",28,2,"Acknowledgement"
"124",29,1,"Elaboration"
"124",30,2,"Reflection"
"124",31,1,"Elaboration"
"124",32,2,"Acknowledgement"
"124",33,1,"Acknowledgement"
"124",34,2,"Elaboration"
"124",35,1,"Elaboration"
"124",36,2,"Advice"
"124",37,1,"Elaboration"
"124",38,2,"Question"
"124",39,1,"Elaboration"
"124",40,2,"Acknowledgement"
"124",41,1,NA
"124",42,2,"Question"
"124",43,1,"Elaboration"
"124",44,2,"Acknowledgement"
"124",45,1,"Elaboration"
"124",46,2,"Acknowledgement"
"124",47,1,"Elaboration"
"124",48,2,"Acknowledgement"
"124",49,1,"HedgedDisclosure"
"124",50,2,"Acknowledgement"
"124",51,1,"Elaboration"
"124",52,2,"Question"
"124",53,1,"Elaboration"
"124",54,2,"Acknowledgement"
"124",55,1,"HedgedDisclosure"
"124",56,2,"Acknowledgement"
"124",57,1,"Question"
"124",58,2,"Acknowledgement"
"124",59,1,"Elaboration"
